中島敦  山月記	OH_SC青空文庫	910	920	I	官	官	カン	名詞-普通名詞-一般			カン	漢
中島敦  山月記	OH_SC青空文庫	920	930	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦  山月記	OH_SC青空文庫	930	950	I	退い	退く	シリゾク	動詞-一般	五段-カ行	連用形-イ音便	シリゾイ	和
中島敦  山月記	OH_SC青空文庫	950	960	I	た	た	タ	助動詞	助動詞-タ	連体形-一般	タ	和
中島敦  山月記	OH_SC青空文庫	960	970	I	後	後	アト	名詞-普通名詞-副詞可能			アト	和
中島敦  山月記	OH_SC青空文庫	970	980	I	は	は	ハ	助詞-係助詞			ワ	和
中島敦  山月記	OH_SC青空文庫	980	990	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	990	1010	I	故山	故山	コザン	名詞-普通名詞-一般			コザン	漢
中島敦  山月記	OH_SC青空文庫	1010	1020	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	1020	1040	I	虢略	カクリャク	カクリャク	名詞-固有名詞-地名-一般			カクリャク	固
中島敦  山月記	OH_SC青空文庫	1040	1050	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦  山月記	OH_SC青空文庫	1050	1070	I	帰臥	帰臥	キガ	名詞-普通名詞-サ変可能			キガ	漢
中島敦  山月記	OH_SC青空文庫	1070	1080	I	し	為る	スル	動詞-非自立可能	サ行変格	連用形-一般	シ	和
中島敦  山月記	OH_SC青空文庫	1080	1090	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	1090	1100	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
中島敦  山月記	OH_SC青空文庫	1100	1110	I	と	と	ト	助詞-格助詞			ト	和
中島敦  山月記	OH_SC青空文庫	1110	1120	I	交	交わり	マジワリ	名詞-普通名詞-一般			マジワリ	和
中島敦  山月記	OH_SC青空文庫	1120	1130	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦  山月記	OH_SC青空文庫	1130	1150	I	絶っ	断つ	タツ	動詞-一般	五段-タ行	連用形-促音便	タッ	和
中島敦  山月記	OH_SC青空文庫	1150	1160	I	て	て	テ	助詞-接続助詞			テ	和
中島敦  山月記	OH_SC青空文庫	1160	1170	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	1170	1210	I	ひたすら	只管	ヒタスラ	副詞			ヒタスラ	和
中島敦  山月記	OH_SC青空文庫	1210	1230	I	詩作	詩作	シサク	名詞-普通名詞-サ変可能			シサク	漢
