芥川龍之介 芋粥_S001	OH_SC青空文庫	740	750	I	が	が	ガ	助詞-格助詞			ガ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	750	770	I	背景	背景	ハイケイ	名詞-普通名詞-一般			ハイケー	漢
芥川龍之介 芋粥_S001	OH_SC青空文庫	770	780	I	に	に	ニ	助詞-格助詞			ニ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	780	800	I	なつ	成る	ナル	動詞-非自立可能	五段-ラ行	連用形-促音便	ナッ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	800	810	I	て	て	テ	助詞-接続助詞			テ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	810	830	I	ゐる	居る	イル	動詞-非自立可能	上一段-ア行	終止形-一般	イル	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	830	840	I	と	と	ト	助詞-格助詞			ト	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	840	860	I	云ふ	言う	イウ	動詞-一般	五段-ワア行	連体形-一般	イウ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	860	870	I	事	事	コト	名詞-普通名詞-一般			コト	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	870	880	I	を	を	ヲ	助詞-格助詞			オ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	880	890	I	、	、		補助記号-読点				記号
芥川龍之介 芋粥_S001	OH_SC青空文庫	890	910	I	知つ	知る	シル	動詞-一般	五段-ラ行	連用形-促音便	シッ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	910	920	I	て	て	テ	助詞-接続助詞			テ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	920	940	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	940	950	I	ゐ	居る	イル	動詞-非自立可能	上一段-ア行	連用形-一般	イ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	950	960	I	て	て	テ	助詞-接続助詞			テ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	960	990	I	くれれ	呉れる	クレル	動詞-非自立可能	下一段-ラ行	仮定形-一般	クレレ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	990	1000	I	ば	ば	バ	助詞-接続助詞			バ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1000	1010	I	、	、		補助記号-読点				記号
芥川龍之介 芋粥_S001	OH_SC青空文庫	1010	1030	I	よい	良い	ヨイ	形容詞-非自立可能	形容詞	連体形-一般	ヨイ	和
