中島敦 名人伝_S002	OH_SC青空文庫	45160	45180	I	いる	居る	イル	動詞-非自立可能	上一段-ア行	連体形-一般	イル	和
中島敦 名人伝_S002	OH_SC青空文庫	45180	45190	I	間	間	アイダ	名詞-普通名詞-副詞可能			アイダ	和
中島敦 名人伝_S002	OH_SC青空文庫	45190	45200	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦 名人伝_S002	OH_SC青空文庫	45200	45220	I	体内	体内	タイナイ	名詞-普通名詞-一般			タイナイ	漢
中島敦 名人伝_S002	OH_SC青空文庫	45220	45230	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦 名人伝_S002	OH_SC青空文庫	45230	45270	I	脱け出し	抜け出す	ヌケダス	動詞-一般	五段-サ行	連用形-一般	ヌケダシ	和
中島敦 名人伝_S002	OH_SC青空文庫	45270	45280	I	、	、		補助記号-読点				記号
中島敦 名人伝_S002	OH_SC青空文庫	45280	45300	I	妖魔	妖魔	ヨウマ	名詞-普通名詞-一般			ヨーマ	漢
中島敦 名人伝_S002	OH_SC青空文庫	45300	45310	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦 名人伝_S002	OH_SC青空文庫	45310	45330	I	払う	払う	ハラウ	動詞-一般	五段-ワア行	終止形-一般	ハラウ	和
中島敦 名人伝_S002	OH_SC青空文庫	45330	45350	I	べく	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-一般	ベク	和
中島敦 名人伝_S002	OH_SC青空文庫	45350	45370	I	徹宵	徹宵	テッショウ	名詞-普通名詞-一般			テッショー	漢
中島敦 名人伝_S002	OH_SC青空文庫	45370	45390	I	守護	守護	シュゴ	名詞-普通名詞-サ変可能			シュゴ	漢
中島敦 名人伝_S002	OH_SC青空文庫	45390	45400	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦 名人伝_S002	OH_SC青空文庫	45400	45420	I	当っ	当たる	アタル	動詞-一般	五段-ラ行	連用形-促音便	アタッ	和
中島敦 名人伝_S002	OH_SC青空文庫	45420	45430	I	て	て	テ	助詞-接続助詞			テ	和
中島敦 名人伝_S002	OH_SC青空文庫	45430	45450	I	いる	居る	イル	動詞-非自立可能	上一段-ア行	連体形-一般	イル	和
中島敦 名人伝_S002	OH_SC青空文庫	45450	45460	I	の	の	ノ	助詞-準体助詞			ノ	和
中島敦 名人伝_S002	OH_SC青空文庫	45460	45470	I	だ	だ	ダ	助動詞	助動詞-ダ	終止形-一般	ダ	和
中島敦 名人伝_S002	OH_SC青空文庫	45470	45480	I	と	と	ト	助詞-格助詞			ト	和
中島敦 名人伝_S002	OH_SC青空文庫	45480	45500	I	いう	言う	イウ	動詞-一般	五段-ワア行	終止形-一般	イウ	和
中島敦 名人伝_S002	OH_SC青空文庫	45500	45510	I	。	。		補助記号-句点				記号
中島敦 名人伝_S002	OH_SC青空文庫	45510	45520	B	彼	彼	カレ	代名詞			カレ	和
中島敦 名人伝_S002	OH_SC青空文庫	45520	45530	I	の	の	ノ	助詞-格助詞			ノ	和
中島敦 名人伝_S002	OH_SC青空文庫	45530	45540	I	家	家	イエ	名詞-普通名詞-一般			イエ	和
中島敦 名人伝_S002	OH_SC青空文庫	45540	45550	I	の	の	ノ	助詞-格助詞			ノ	和
中島敦 名人伝_S002	OH_SC青空文庫	45550	45570	I	近く	近く	チカク	名詞-普通名詞-副詞可能			チカク	和
中島敦 名人伝_S002	OH_SC青空文庫	45570	45580	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦 名人伝_S002	OH_SC青空文庫	45580	45600	I	住む	住む	スム	動詞-一般	五段-マ行	連体形-一般	スム	和
中島敦 名人伝_S002	OH_SC青空文庫	45600	45610	I	一	一	イチ	名詞-数詞			イチ	漢
中島敦 名人伝_S002	OH_SC青空文庫	45610	45630	I	商人	商人	ショウニン	名詞-普通名詞-一般			ショーニン	漢
中島敦 名人伝_S002	OH_SC青空文庫	45630	45640	I	は	は	ハ	助詞-係助詞			ワ	和
中島敦 名人伝_S002	OH_SC青空文庫	45640	45660	I	ある	或る	アル	連体詞			アル	和
