新美南吉 手袋を買いに	OH_SC青空文庫	770	780	I	母	母	カア	名詞-普通名詞-一般			カー	和
新美南吉 手袋を買いに	OH_SC青空文庫	780	800	I	さん	さん	サン	接尾辞-名詞的-一般			サン	和
新美南吉 手袋を買いに	OH_SC青空文庫	800	810	I	狐	狐	キツネ	名詞-普通名詞-一般			ギツネ	和
新美南吉 手袋を買いに	OH_SC青空文庫	810	820	I	の	の	ノ	助詞-格助詞			ノ	和
新美南吉 手袋を買いに	OH_SC青空文庫	820	850	I	ところ	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
新美南吉 手袋を買いに	OH_SC青空文庫	850	860	I	へ	へ	ヘ	助詞-格助詞			エ	和
新美南吉 手袋を買いに	OH_SC青空文庫	860	890	I	ころげ	転げる	コロゲル	動詞-一般	下一段-ガ行	連用形-一般	コロゲ	和
新美南吉 手袋を買いに	OH_SC青空文庫	890	900	I	て	て	テ	助詞-接続助詞			テ	和
新美南吉 手袋を買いに	OH_SC青空文庫	900	910	I	来	来る	クル	動詞-非自立可能	カ行変格	連用形-一般	キ	和
新美南吉 手袋を買いに	OH_SC青空文庫	910	930	I	まし	ます	マス	助動詞	助動詞-マス	連用形-一般	マシ	和
新美南吉 手袋を買いに	OH_SC青空文庫	930	940	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
新美南吉 手袋を買いに	OH_SC青空文庫	940	950	I	。	。		補助記号-句点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	950	960	B	「	「		補助記号-括弧開				記号
新美南吉 手袋を買いに	OH_SC青空文庫	960	970	I	母	母	カア	名詞-普通名詞-一般			カー	和
新美南吉 手袋を買いに	OH_SC青空文庫	970	1000	I	ちゃん	ちゃん	チャン	接尾辞-名詞的-一般			チャン	和
新美南吉 手袋を買いに	OH_SC青空文庫	1000	1010	I	、	、		補助記号-読点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	1010	1020	I	眼	目	メ	名詞-普通名詞-一般			メ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1020	1030	I	に	に	ニ	助詞-格助詞			ニ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1030	1040	I	何	何	ナニ	代名詞			ナニ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1040	1050	I	か	か	カ	助詞-副助詞			カ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1050	1080	I	刺さっ	差さる	ササル	動詞-一般	五段-ラ行	連用形-促音便	ササッ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1080	1090	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1090	1100	I	、	、		補助記号-読点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	1100	1120	I	ぬい	抜く	ヌク	動詞-非自立可能	五段-カ行	連用形-イ音便	ヌイ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1120	1130	I	て	て	テ	助詞-接続助詞			テ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1130	1150	I	頂戴	頂戴	チョウダイ	名詞-普通名詞-サ変可能			チョーダイ	漢
新美南吉 手袋を買いに	OH_SC青空文庫	1150	1170	I	早く	早い	ハヤイ	形容詞-一般	形容詞	連用形-一般	ハヤク	和
新美南吉 手袋を買いに	OH_SC青空文庫	1170	1190	I	早く	早い	ハヤイ	形容詞-一般	形容詞	連用形-一般	ハヤク	和
新美南吉 手袋を買いに	OH_SC青空文庫	1190	1200	I	」	」		補助記号-括弧閉				記号
